Date,Month,Day,Year,SWC,waterYear
5/31/16,5,31,2016,2.3,2016
5/30/16,5,30,2016,2.5,2016
5/29/16,5,29,2016,2.7,2016
5/28/16,5,28,2016,2.9,2016
5/27/16,5,27,2016,3.1,2016
5/26/16,5,26,2016,3.3,2016
5/25/16,5,25,2016,3.4,2016
5/24/16,5,24,2016,3.5,2016
5/23/16,5,23,2016,3.6,2016
5/22/16,5,22,2016,3.7,2016
5/21/16,5,21,2016,3.7,2016
5/20/16,5,20,2016,3.8,2016
5/19/16,5,19,2016,4.2,2016
5/18/16,5,18,2016,4.7,2016
5/17/16,5,17,2016,5.2,2016
5/16/16,5,16,2016,5.6,2016
5/15/16,5,15,2016,6.1,2016
5/14/16,5,14,2016,6.7,2016
5/13/16,5,13,2016,7.5,2016
5/12/16,5,12,2016,8.2,2016
5/11/16,5,11,2016,9,2016
5/10/16,5,10,2016,9.6,2016
5/9/16,5,9,2016,10.3,2016
5/8/16,5,8,2016,10.7,2016
5/7/16,5,7,2016,10.9,2016
5/6/16,5,6,2016,11.2,2016
5/5/16,5,5,2016,11.3,2016
5/4/16,5,4,2016,11.8,2016
5/3/16,5,3,2016,12.3,2016
5/2/16,5,2,2016,12.7,2016
5/1/16,5,1,2016,13,2016
4/30/16,4,30,2016,13.4,2016
4/29/16,4,29,2016,13.7,2016
4/28/16,4,28,2016,13.9,2016
4/27/16,4,27,2016,14,2016
4/26/16,4,26,2016,14.2,2016
4/25/16,4,25,2016,14.2,2016
4/24/16,4,24,2016,14.2,2016
4/23/16,4,23,2016,14.2,2016
4/22/16,4,22,2016,13.7,2016
4/21/16,4,21,2016,14.4,2016
4/20/16,4,20,2016,15.2,2016
4/19/16,4,19,2016,15.9,2016
4/18/16,4,18,2016,16.7,2016
4/17/16,4,17,2016,17.3,2016
4/16/16,4,16,2016,17.8,2016
4/15/16,4,15,2016,18,2016
4/14/16,4,14,2016,18.1,2016
4/13/16,4,13,2016,18.6,2016
4/12/16,4,12,2016,19.1,2016
4/11/16,4,11,2016,19.5,2016
4/10/16,4,10,2016,19.8,2016
4/9/16,4,9,2016,19.8,2016
4/8/16,4,8,2016,20.3,2016
4/7/16,4,7,2016,20.8,2016
4/6/16,4,6,2016,21.5,2016
4/5/16,4,5,2016,22.1,2016
4/4/16,4,4,2016,22.5,2016
4/3/16,4,3,2016,23.1,2016
4/2/16,4,2,2016,23.6,2016
4/1/16,4,1,2016,24.1,2016
3/31/16,3,31,2016,24.2,2016
3/30/16,3,30,2016,24.1,2016
3/29/16,3,29,2016,24.1,2016
3/28/16,3,28,2016,24,2016
3/27/16,3,27,2016,24.4,2016
3/26/16,3,26,2016,24.7,2016
3/25/16,3,25,2016,25,2016
3/24/16,3,24,2016,25.2,2016
3/23/16,3,23,2016,25.1,2016
3/22/16,3,22,2016,24.9,2016
3/21/16,3,21,2016,24.5,2016
3/20/16,3,20,2016,24.7,2016
3/19/16,3,19,2016,24.9,2016
3/18/16,3,18,2016,25.2,2016
3/17/16,3,17,2016,25.4,2016
3/16/16,3,16,2016,25.5,2016
3/15/16,3,15,2016,25.5,2016
3/14/16,3,14,2016,25.4,2016
3/13/16,3,13,2016,24.1,2016
3/12/16,3,12,2016,23.3,2016
3/11/16,3,11,2016,22.5,2016
3/10/16,3,10,2016,22.3,2016
3/9/16,3,9,2016,22.1,2016
3/8/16,3,8,2016,21.9,2016
3/7/16,3,7,2016,21.6,2016
3/6/16,3,6,2016,20.9,2016
3/5/16,3,5,2016,19.8,2016
3/4/16,3,4,2016,19.8,2016
3/3/16,3,3,2016,20,2016
3/2/16,3,2,2016,20.5,2016
3/1/16,3,1,2016,20.7,2016
2/29/16,2,29,2016,20.9,2016
2/28/16,2,28,2016,20.9,2016
2/27/16,2,27,2016,21.1,2016
2/26/16,2,26,2016,21.3,2016
2/25/16,2,25,2016,21.2,2016
2/24/16,2,24,2016,21.2,2016
2/23/16,2,23,2016,21.3,2016
2/22/16,2,22,2016,21.3,2016
2/21/16,2,21,2016,21.2,2016
2/20/16,2,20,2016,21.2,2016
2/19/16,2,19,2016,21,2016
2/18/16,2,18,2016,20.4,2016
2/17/16,2,17,2016,19.8,2016
2/16/16,2,16,2016,19.9,2016
2/15/16,2,15,2016,20,2016
2/14/16,2,14,2016,20.1,2016
2/13/16,2,13,2016,20.2,2016
2/12/16,2,12,2016,20.3,2016
2/11/16,2,11,2016,20.4,2016
2/10/16,2,10,2016,20.5,2016
2/9/16,2,9,2016,20.5,2016
2/8/16,2,8,2016,20.6,2016
2/7/16,2,7,2016,20.7,2016
2/6/16,2,6,2016,20.6,2016
2/5/16,2,5,2016,20.8,2016
2/4/16,2,4,2016,20.7,2016
2/3/16,2,3,2016,20.7,2016
2/2/16,2,2,2016,20.6,2016
2/1/16,2,1,2016,20.6,2016
1/31/16,1,31,2016,19.9,2016
1/30/16,1,30,2016,19.3,2016
1/29/16,1,29,2016,19,2016
1/28/16,1,28,2016,18.9,2016
1/27/16,1,27,2016,18.8,2016
1/26/16,1,26,2016,18.8,2016
1/25/16,1,25,2016,18.8,2016
1/24/16,1,24,2016,18.5,2016
1/23/16,1,23,2016,18.1,2016
1/22/16,1,22,2016,17.2,2016
1/21/16,1,21,2016,17,2016
1/20/16,1,20,2016,17,2016
1/19/16,1,19,2016,16.1,2016
1/18/16,1,18,2016,15.8,2016
1/17/16,1,17,2016,15.4,2016
1/16/16,1,16,2016,15.2,2016
1/15/16,1,15,2016,14.9,2016
1/14/16,1,14,2016,13.8,2016
1/13/16,1,13,2016,13.2,2016
1/12/16,1,12,2016,13,2016
1/11/16,1,11,2016,12.9,2016
1/10/16,1,10,2016,12.9,2016
1/9/16,1,9,2016,12.7,2016
1/8/16,1,8,2016,12.6,2016
1/7/16,1,7,2016,12.6,2016
1/6/16,1,6,2016,11.8,2016
1/5/16,1,5,2016,10.9,2016
1/4/16,1,4,2016,10.6,2016
1/3/16,1,3,2016,10.6,2016
1/2/16,1,2,2016,10.5,2016
1/1/16,1,1,2016,10.5,2016
12/31/15,12,31,2015,10.5,2016
12/30/15,12,30,2015,10.5,2016
12/29/15,12,29,2015,10.4,2016
12/28/15,12,28,2015,10.4,2016
12/27/15,12,27,2015,10.3,2016
12/26/15,12,26,2015,10.3,2016
12/25/15,12,25,2015,10.2,2016
12/24/15,12,24,2015,9.4,2016
12/23/15,12,23,2015,9.4,2016
12/22/15,12,22,2015,9,2016
12/21/15,12,21,2015,7,2016
12/20/15,12,20,2015,6.5,2016
12/19/15,12,19,2015,6.2,2016
12/18/15,12,18,2015,5.8,2016
12/17/15,12,17,2015,5.7,2016
12/16/15,12,16,2015,5.7,2016
12/15/15,12,15,2015,5.7,2016
12/14/15,12,14,2015,5.6,2016
12/13/15,12,13,2015,4.5,2016
12/12/15,12,12,2015,4.4,2016
12/11/15,12,11,2015,4.2,2016
12/10/15,12,10,2015,3.3,2016
12/9/15,12,9,2015,3.3,2016
12/8/15,12,8,2015,3.4,2016
12/7/15,12,7,2015,3.5,2016
12/6/15,12,6,2015,3.4,2016
12/5/15,12,5,2015,3.2,2016
12/4/15,12,4,2015,3.2,2016
12/3/15,12,3,2015,2.7,2016
12/2/15,12,2,2015,2.7,2016
12/1/15,12,1,2015,2.6,2016
11/30/15,11,30,2015,2.6,2016
11/29/15,11,29,2015,2.5,2016
11/28/15,11,28,2015,2.6,2016
11/27/15,11,27,2015,2.5,2016
11/26/15,11,26,2015,2.5,2016
11/25/15,11,25,2015,2.4,2016
11/24/15,11,24,2015,1.9,2016
11/23/15,11,23,2015,2,2016
11/22/15,11,22,2015,2,2016
11/21/15,11,21,2015,2.1,2016
11/20/15,11,20,2015,2.1,2016
11/19/15,11,19,2015,2.1,2016
11/18/15,11,18,2015,2.2,2016
11/17/15,11,17,2015,2.2,2016
11/16/15,11,16,2015,2.2,2016
11/15/15,11,15,2015,1.5,2016
11/14/15,11,14,2015,1.6,2016
11/13/15,11,13,2015,1.5,2016
11/12/15,11,12,2015,1.5,2016
11/11/15,11,11,2015,1.5,2016
11/10/15,11,10,2015,1.5,2016
11/9/15,11,9,2015,1.1,2016
11/8/15,11,8,2015,0.9,2016
11/7/15,11,7,2015,0.9,2016
11/6/15,11,6,2015,0.9,2016
11/5/15,11,5,2015,0.8,2016
11/4/15,11,4,2015,0.8,2016
11/3/15,11,3,2015,0.8,2016
11/2/15,11,2,2015,0.2,2016
11/1/15,11,1,2015,0.1,2016
6/1/15,6,1,2015,0,2015
5/31/15,5,31,2015,0,2015
5/30/15,5,30,2015,0,2015
5/29/15,5,29,2015,0,2015
5/28/15,5,28,2015,0,2015
5/27/15,5,27,2015,0.1,2015
5/26/15,5,26,2015,0.1,2015
5/25/15,5,25,2015,0.1,2015
5/24/15,5,24,2015,0.2,2015
5/23/15,5,23,2015,0.2,2015
5/22/15,5,22,2015,0.2,2015
5/21/15,5,21,2015,0.2,2015
5/20/15,5,20,2015,0.2,2015
5/19/15,5,19,2015,0.3,2015
5/18/15,5,18,2015,0.3,2015
5/17/15,5,17,2015,0.3,2015
5/16/15,5,16,2015,0.3,2015
5/15/15,5,15,2015,0.3,2015
5/14/15,5,14,2015,0.1,2015
5/13/15,5,13,2015,0.2,2015
5/12/15,5,12,2015,0.2,2015
5/11/15,5,11,2015,0.2,2015
5/10/15,5,10,2015,0.3,2015
5/9/15,5,9,2015,0.4,2015
5/8/15,5,8,2015,0.4,2015
5/7/15,5,7,2015,0.2,2015
5/6/15,5,6,2015,0.2,2015
5/5/15,5,5,2015,0.2,2015
5/4/15,5,4,2015,0.2,2015
5/3/15,5,3,2015,0.3,2015
5/2/15,5,2,2015,0.4,2015
5/1/15,5,1,2015,0.4,2015
4/30/15,4,30,2015,0.5,2015
4/29/15,4,29,2015,0.6,2015
4/28/15,4,28,2015,0.8,2015
4/27/15,4,27,2015,1,2015
4/26/15,4,26,2015,1.1,2015
4/25/15,4,25,2015,0.9,2015
4/24/15,4,24,2015,0.7,2015
4/23/15,4,23,2015,0.6,2015
4/22/15,4,22,2015,0.6,2015
4/21/15,4,21,2015,0.7,2015
4/20/15,4,20,2015,0.7,2015
4/19/15,4,19,2015,0.8,2015
4/18/15,4,18,2015,0.9,2015
4/17/15,4,17,2015,1,2015
4/16/15,4,16,2015,1.1,2015
4/15/15,4,15,2015,1.2,2015
4/14/15,4,14,2015,1.5,2015
4/13/15,4,13,2015,1.6,2015
4/12/15,4,12,2015,1.8,2015
4/11/15,4,11,2015,2.1,2015
4/10/15,4,10,2015,2.2,2015
4/9/15,4,9,2015,2.3,2015
4/8/15,4,8,2015,2.3,2015
4/7/15,4,7,2015,1.6,2015
4/6/15,4,6,2015,1.5,2015
4/5/15,4,5,2015,1.4,2015
4/4/15,4,4,2015,1.4,2015
4/3/15,4,3,2015,1.4,2015
4/2/15,4,2,2015,1.4,2015
4/1/15,4,1,2015,1.4,2015
3/31/15,3,31,2015,1.5,2015
3/30/15,3,30,2015,1.6,2015
3/29/15,3,29,2015,1.8,2015
3/28/15,3,28,2015,2,2015
3/27/15,3,27,2015,2.2,2015
3/26/15,3,26,2015,2.4,2015
3/25/15,3,25,2015,2.5,2015
3/24/15,3,24,2015,2.6,2015
3/23/15,3,23,2015,2.6,2015
3/22/15,3,22,2015,2.6,2015
3/21/15,3,21,2015,2.8,2015
3/20/15,3,20,2015,3,2015
3/19/15,3,19,2015,3.2,2015
3/18/15,3,18,2015,3.3,2015
3/17/15,3,17,2015,3.4,2015
3/16/15,3,16,2015,3.8,2015
3/15/15,3,15,2015,4.1,2015
3/14/15,3,14,2015,4.3,2015
3/13/15,3,13,2015,4.6,2015
3/12/15,3,12,2015,4.7,2015
3/11/15,3,11,2015,4.6,2015
3/10/15,3,10,2015,4.8,2015
3/9/15,3,9,2015,4.9,2015
3/8/15,3,8,2015,5,2015
3/7/15,3,7,2015,5,2015
3/6/15,3,6,2015,5.1,2015
3/5/15,3,5,2015,5,2015
3/4/15,3,4,2015,5.1,2015
3/3/15,3,3,2015,5,2015
3/2/15,3,2,2015,5,2015
3/1/15,3,1,2015,5,2015
2/28/15,2,28,2015,4.8,2015
2/27/15,2,27,2015,4.7,2015
2/26/15,2,26,2015,4.6,2015
2/25/15,2,25,2015,4.7,2015
2/24/15,2,24,2015,4.6,2015
2/23/15,2,23,2015,4.6,2015
2/22/15,2,22,2015,4.6,2015
2/21/15,2,21,2015,4.7,2015
2/20/15,2,20,2015,4.8,2015
2/19/15,2,19,2015,4.9,2015
2/18/15,2,18,2015,5,2015
2/17/15,2,17,2015,5.1,2015
2/16/15,2,16,2015,5.2,2015
2/15/15,2,15,2015,5.3,2015
2/14/15,2,14,2015,5.4,2015
2/13/15,2,13,2015,5.5,2015
2/12/15,2,12,2015,5.6,2015
2/11/15,2,11,2015,5.6,2015
2/10/15,2,10,2015,5.6,2015
2/9/15,2,9,2015,5.6,2015
2/8/15,2,8,2015,5.2,2015
2/7/15,2,7,2015,4.9,2015
2/6/15,2,6,2015,3.9,2015
2/5/15,2,5,2015,3.9,2015
2/4/15,2,4,2015,4,2015
2/3/15,2,3,2015,4.1,2015
2/2/15,2,2,2015,4.1,2015
2/1/15,2,1,2015,4.2,2015
1/31/15,1,31,2015,4.3,2015
1/30/15,1,30,2015,4.3,2015
1/29/15,1,29,2015,4.3,2015
1/28/15,1,28,2015,4.4,2015
1/27/15,1,27,2015,4.3,2015
1/26/15,1,26,2015,4.3,2015
1/25/15,1,25,2015,4.4,2015
1/24/15,1,24,2015,4.4,2015
1/23/15,1,23,2015,4.5,2015
1/22/15,1,22,2015,4.5,2015
1/21/15,1,21,2015,4.6,2015
1/20/15,1,20,2015,4.6,2015
1/19/15,1,19,2015,4.7,2015
1/18/15,1,18,2015,4.8,2015
1/17/15,1,17,2015,4.9,2015
1/16/15,1,16,2015,4.9,2015
1/15/15,1,15,2015,4.9,2015
1/14/15,1,14,2015,4.9,2015
1/13/15,1,13,2015,4.9,2015
1/12/15,1,12,2015,4.9,2015
1/11/15,1,11,2015,5,2015
1/10/15,1,10,2015,4.9,2015
1/9/15,1,9,2015,5,2015
1/8/15,1,8,2015,5,2015
1/7/15,1,7,2015,5,2015
1/6/15,1,6,2015,5,2015
1/5/15,1,5,2015,5,2015
1/4/15,1,4,2015,4.9,2015
1/3/15,1,3,2015,4.9,2015
1/2/15,1,2,2015,4.9,2015
1/1/15,1,1,2015,4.8,2015
12/31/14,12,31,2014,4.8,2015
12/30/14,12,30,2014,4.8,2015
12/29/14,12,29,2014,4.9,2015
12/28/14,12,28,2014,4.9,2015
12/27/14,12,27,2014,4.8,2015
12/26/14,12,26,2014,4.8,2015
12/25/14,12,25,2014,4.9,2015
12/24/14,12,24,2014,4.6,2015
12/23/14,12,23,2014,4.6,2015
12/22/14,12,22,2014,4.6,2015
12/21/14,12,21,2014,4.8,2015
12/20/14,12,20,2014,4.5,2015
12/19/14,12,19,2014,3.9,2015
12/18/14,12,18,2014,3.8,2015
12/17/14,12,17,2014,3.6,2015
12/16/14,12,16,2014,3.3,2015
12/15/14,12,15,2014,2.9,2015
12/14/14,12,14,2014,2.9,2015
12/13/14,12,13,2014,2.9,2015
12/12/14,12,12,2014,2.3,2015
12/11/14,12,11,2014,1.8,2015
12/10/14,12,10,2014,1.7,2015
12/9/14,12,9,2014,1.7,2015
12/8/14,12,8,2014,1.8,2015
12/7/14,12,7,2014,1.8,2015
12/6/14,12,6,2014,1.8,2015
12/5/14,12,5,2014,1.8,2015
12/4/14,12,4,2014,1.9,2015
12/3/14,12,3,2014,1.6,2015
12/2/14,12,2,2014,1,2015
12/1/14,12,1,2014,1,2015
11/30/14,11,30,2014,0.9,2015
6/9/14,6,9,2014,0,2014
6/8/14,6,8,2014,0,2014
6/7/14,6,7,2014,0,2014
6/6/14,6,6,2014,0,2014
6/5/14,6,5,2014,0,2014
6/3/14,6,3,2014,0.1,2014
6/2/14,6,2,2014,0.1,2014
6/1/14,6,1,2014,0.1,2014
5/31/14,5,31,2014,0.2,2014
5/30/14,5,30,2014,0.2,2014
5/29/14,5,29,2014,0.2,2014
5/28/14,5,28,2014,0.2,2014
5/27/14,5,27,2014,0.3,2014
5/26/14,5,26,2014,0.4,2014
5/25/14,5,25,2014,0.5,2014
5/24/14,5,24,2014,0.5,2014
5/23/14,5,23,2014,0.6,2014
5/22/14,5,22,2014,0.7,2014
5/21/14,5,21,2014,0.8,2014
5/20/14,5,20,2014,0.6,2014
5/19/14,5,19,2014,0.7,2014
5/18/14,5,18,2014,0.8,2014
5/17/14,5,17,2014,1,2014
5/16/14,5,16,2014,1.2,2014
5/15/14,5,15,2014,1.5,2014
5/14/14,5,14,2014,1.7,2014
5/13/14,5,13,2014,1.9,2014
5/12/14,5,12,2014,2.1,2014
5/11/14,5,11,2014,2.2,2014
5/10/14,5,10,2014,2.3,2014
5/9/14,5,9,2014,2.4,2014
5/8/14,5,8,2014,2.5,2014
5/7/14,5,7,2014,2.6,2014
5/6/14,5,6,2014,2.6,2014
5/5/14,5,5,2014,2.7,2014
5/4/14,5,4,2014,3,2014
5/3/14,5,3,2014,3.4,2014
5/2/14,5,2,2014,3.7,2014
5/1/14,5,1,2014,4,2014
4/30/14,4,30,2014,4.3,2014
4/29/14,4,29,2014,4.7,2014
4/28/14,4,28,2014,4.9,2014
4/27/14,4,27,2014,5,2014
4/26/14,4,26,2014,4.9,2014
4/25/14,4,25,2014,4,2014
4/24/14,4,24,2014,4.1,2014
4/23/14,4,23,2014,4.3,2014
4/22/14,4,22,2014,4.2,2014
4/21/14,4,21,2014,4.4,2014
4/20/14,4,20,2014,4.7,2014
4/19/14,4,19,2014,5.1,2014
4/18/14,4,18,2014,5.4,2014
4/17/14,4,17,2014,5.8,2014
4/16/14,4,16,2014,6.2,2014
4/15/14,4,15,2014,6.6,2014
4/14/14,4,14,2014,7,2014
4/13/14,4,13,2014,7.4,2014
4/12/14,4,12,2014,7.8,2014
4/11/14,4,11,2014,8.1,2014
4/10/14,4,10,2014,8.6,2014
4/9/14,4,9,2014,9,2014
4/8/14,4,8,2014,9.3,2014
4/7/14,4,7,2014,9.7,2014
4/6/14,4,6,2014,9.9,2014
4/5/14,4,5,2014,10,2014
4/4/14,4,4,2014,10,2014
4/3/14,4,3,2014,9.9,2014
4/2/14,4,2,2014,9.8,2014
4/1/14,4,1,2014,9.4,2014
3/31/14,3,31,2014,8.7,2014
3/30/14,3,30,2014,8.6,2014
3/29/14,3,29,2014,7.8,2014
3/28/14,3,28,2014,7.6,2014
3/27/14,3,27,2014,7.3,2014
3/26/14,3,26,2014,6.8,2014
3/25/14,3,25,2014,6.8,2014
3/24/14,3,24,2014,6.9,2014
3/23/14,3,23,2014,7.1,2014
3/22/14,3,22,2014,7.2,2014
3/21/14,3,21,2014,7.3,2014
3/20/14,3,20,2014,7.4,2014
3/19/14,3,19,2014,7.5,2014
3/18/14,3,18,2014,7.6,2014
3/17/14,3,17,2014,7.8,2014
3/16/14,3,16,2014,8,2014
3/15/14,3,15,2014,8.1,2014
3/14/14,3,14,2014,8.2,2014
3/13/14,3,13,2014,8.3,2014
3/12/14,3,12,2014,8.3,2014
3/11/14,3,11,2014,8.4,2014
3/10/14,3,10,2014,8.3,2014
3/9/14,3,9,2014,8.4,2014
3/8/14,3,8,2014,8.4,2014
3/7/14,3,7,2014,8.5,2014
3/6/14,3,6,2014,8.5,2014
3/5/14,3,5,2014,8.5,2014
3/4/14,3,4,2014,8.4,2014
3/3/14,3,3,2014,8.1,2014
3/2/14,3,2,2014,7.9,2014
3/1/14,3,1,2014,7.8,2014
2/28/14,2,28,2014,6.5,2014
2/27/14,2,27,2014,6.1,2014
2/26/14,2,26,2014,5.3,2014
2/25/14,2,25,2014,5.4,2014
2/24/14,2,24,2014,5.5,2014
2/23/14,2,23,2014,5.5,2014
2/22/14,2,22,2014,5.6,2014
2/21/14,2,21,2014,5.6,2014
2/20/14,2,20,2014,5.6,2014
2/19/14,2,19,2014,5.7,2014
2/18/14,2,18,2014,5.7,2014
2/17/14,2,17,2014,5.8,2014
2/16/14,2,16,2014,5.8,2014
2/15/14,2,15,2014,5.7,2014
2/14/14,2,14,2014,5.8,2014
2/13/14,2,13,2014,5.8,2014
2/12/14,2,12,2014,5.9,2014
2/11/14,2,11,2014,5.9,2014
2/10/14,2,10,2014,5.9,2014
2/9/14,2,9,2014,5.2,2014
2/8/14,2,8,2014,4,2014
2/7/14,2,7,2014,3.2,2014
2/6/14,2,6,2014,3,2014
2/5/14,2,5,2014,2.9,2014
2/4/14,2,4,2014,2.9,2014
2/3/14,2,3,2014,2.8,2014
2/2/14,2,2,2014,2.7,2014
2/1/14,2,1,2014,2.7,2014
1/31/14,1,31,2014,2.7,2014
1/30/14,1,30,2014,2.1,2014
1/29/14,1,29,2014,1.8,2014
1/28/14,1,28,2014,1.8,2014
1/27/14,1,27,2014,1.8,2014
1/26/14,1,26,2014,1.9,2014
1/25/14,1,25,2014,1.9,2014
1/24/14,1,24,2014,1.9,2014
1/23/14,1,23,2014,1.9,2014
1/22/14,1,22,2014,1.9,2014
1/21/14,1,21,2014,2,2014
1/20/14,1,20,2014,2,2014
1/19/14,1,19,2014,2,2014
1/18/14,1,18,2014,2,2014
1/17/14,1,17,2014,2.1,2014
1/16/14,1,16,2014,2.1,2014
1/15/14,1,15,2014,2.1,2014
1/14/14,1,14,2014,2.1,2014
1/13/14,1,13,2014,2.1,2014
1/12/14,1,12,2014,2.1,2014
1/11/14,1,11,2014,1.9,2014
1/10/14,1,10,2014,1.9,2014
1/9/14,1,9,2014,1.9,2014
1/8/14,1,8,2014,1.9,2014
1/7/14,1,7,2014,1.9,2014
1/6/14,1,6,2014,2,2014
1/5/14,1,5,2014,2,2014
1/4/14,1,4,2014,2,2014
1/3/14,1,3,2014,2,2014
1/2/14,1,2,2014,2,2014
1/1/14,1,1,2014,2,2014
12/31/13,12,31,2013,2,2014
12/30/13,12,30,2013,1.9,2014
12/29/13,12,29,2013,1.9,2014
12/28/13,12,28,2013,2,2014
12/27/13,12,27,2013,2,2014
12/26/13,12,26,2013,2,2014
12/25/13,12,25,2013,2,2014
12/24/13,12,24,2013,2,2014
12/23/13,12,23,2013,2,2014
12/22/13,12,22,2013,2,2014
12/21/13,12,21,2013,2,2014
12/20/13,12,20,2013,1.9,2014
12/19/13,12,19,2013,1.9,2014
12/18/13,12,18,2013,2,2014
12/17/13,12,17,2013,1.9,2014
12/16/13,12,16,2013,1.9,2014
12/15/13,12,15,2013,1.9,2014
12/14/13,12,14,2013,1.9,2014
12/13/13,12,13,2013,1.9,2014
12/12/13,12,12,2013,1.9,2014
12/11/13,12,11,2013,1.9,2014
12/10/13,12,10,2013,1.8,2014
12/9/13,12,9,2013,1.8,2014
12/8/13,12,8,2013,1.7,2014
12/7/13,12,7,2013,1.7,2014
12/6/13,12,6,2013,1.1,2014
12/5/13,12,5,2013,1,2014
12/4/13,12,4,2013,0.9,2014
12/3/13,12,3,2013,0.7,2014
12/2/13,12,2,2013,0.7,2014
12/1/13,12,1,2013,0.6,2014
11/30/13,11,30,2013,0.7,2014
11/29/13,11,29,2013,0.7,2014
11/28/13,11,28,2013,0.6,2014
11/27/13,11,27,2013,0.7,2014
11/26/13,11,26,2013,0.6,2014
11/25/13,11,25,2013,0.6,2014
11/24/13,11,24,2013,0.6,2014
11/23/13,11,23,2013,0.6,2014
11/22/13,11,22,2013,0.4,2014
11/21/13,11,21,2013,0.4,2014
11/20/13,11,20,2013,0.2,2014
11/19/13,11,19,2013,0,2014
11/5/13,11,5,2013,0.2,2014
6/12/13,6,12,2013,0,2013
6/11/13,6,11,2013,0,2013
6/10/13,6,10,2013,0,2013
6/9/13,6,9,2013,0,2013
6/8/13,6,8,2013,0,2013
6/7/13,6,7,2013,0,2013
6/6/13,6,6,2013,0,2013
6/5/13,6,5,2013,0,2013
6/4/13,6,4,2013,0.1,2013
6/3/13,6,3,2013,0.1,2013
6/2/13,6,2,2013,0.1,2013
6/1/13,6,1,2013,0.1,2013
5/31/13,5,31,2013,0.1,2013
5/30/13,5,30,2013,0.2,2013
5/29/13,5,29,2013,0.2,2013
5/28/13,5,28,2013,0.2,2013
5/27/13,5,27,2013,0.2,2013
5/26/13,5,26,2013,0.2,2013
5/25/13,5,25,2013,0.3,2013
5/24/13,5,24,2013,0.3,2013
5/23/13,5,23,2013,0.4,2013
5/22/13,5,22,2013,0.4,2013
5/21/13,5,21,2013,0.5,2013
5/20/13,5,20,2013,0.6,2013
5/19/13,5,19,2013,0.7,2013
5/18/13,5,18,2013,0.7,2013
5/17/13,5,17,2013,0.8,2013
5/16/13,5,16,2013,0.8,2013
5/15/13,5,15,2013,1,2013
5/14/13,5,14,2013,1.1,2013
5/13/13,5,13,2013,1.4,2013
5/12/13,5,12,2013,1.7,2013
5/11/13,5,11,2013,1.9,2013
5/10/13,5,10,2013,2.1,2013
5/9/13,5,9,2013,2.3,2013
5/8/13,5,8,2013,2.4,2013
5/7/13,5,7,2013,2.4,2013
5/6/13,5,6,2013,2.4,2013
5/5/13,5,5,2013,2.5,2013
5/4/13,5,4,2013,2.7,2013
5/3/13,5,3,2013,3,2013
